Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.115060400545944,-0.115447922845765,-0.0025,0,0,0,0.205048064278336,0.000744636102725019,-3.13646252611694E-07,-9.04560815030523E-23,0.000837402621952737,2.53540352214626E-21,0.00158118435774326,0,0,0,0,0,0,package://urdf_try_1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/base_link.STL,,new_car_base-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_bracket_link,-0.02,0.025986763677896,-0.00990787914229635,0,0,0,0.00833672226393641,2.98092057068024E-06,-7.41612608992847E-22,4.30983900644287E-22,2.5814430021137E-06,8.42085226413098E-07,2.70784033899702E-06,0,0,0,0,0,0,package://urdf_try_1/meshes/lf_bracket_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/lf_bracket_link.STL,,wheel_DCbracket_DCmotor-2/DCbracker-1,lf_bracket_link,lf_bracket_join,lf_bracket_join,fixed,0.2025,-0.08625,-0.005,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lf_DCmotor_link,-0.0035,0.031837,-0.01,0,0,0,0.064538,2.7927E-05,-2.3139E-21,2.4025E-22,1.0166E-05,2.865E-21,2.7916E-05,0,0,0,0,0,0,package://urdf_try_1/meshes/lf_DCmotor_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/lf_DCmotor_link.STL,,wheel_DCbracket_DCmotor-2/DCmotor-1,lf_DCmotor_link,lf_DCmotor_join,lf_DCmotor_join,fixed,-0.0165,-0.0256,-0.0146,0,0,0,lf_bracket_link,0,0,0,,,,,,,,,,,,
lf_wheel_link,1.11022302462516E-16,-0.0149570892186662,0,0,0,0,0.131781957836458,5.64750546860615E-05,-5.55353366772088E-21,-1.68196837805002E-21,9.31833010061579E-05,2.03038431756179E-21,5.64750546860616E-05,0,0,0,0,0,0,package://urdf_try_1/meshes/lf_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/lf_wheel_link.STL,,wheel_DCbracket_DCmotor-2/wheel-1,lf_wheel_link,lf_wheel_join,lf_wheel_join,continuous,-0.0035,0.0992,-0.01,0,0,0,lf_DCmotor_link,0,1,0,,,,,,,,,,,,
lb_bracket_link,0.02,0.025986763677896,-0.00990787914229634,0,0,0,0.00833672226393639,2.98092057068024E-06,-4.55595242922701E-22,2.49362026391E-22,2.5814430021137E-06,8.42085226413098E-07,2.70784033899702E-06,0,0,0,0,0,0,package://urdf_try_1/meshes/lb_bracket_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/lb_bracket_link.STL,,wheel_DCbracket_DCmotor-3/DCbracker-1,lb_bracket_link,lb_bracket_join,lb_bracket_join,fixed,0.0275,-0.08625,-0.005,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lb_DCmotor_link,0.0035,0.031837,-0.01,0,0,0,0.064538,2.7927E-05,-1.1842E-21,1.8111E-22,1.0166E-05,2.8924E-21,2.7916E-05,0,0,0,0,0,0,package://urdf_try_1/meshes/lb_DCmotor_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/lb_DCmotor_link.STL,,wheel_DCbracket_DCmotor-3/DCmotor-1,lb_DCmotor_link,lb_DCmotor_join,lb_DCmotor_join,fixed,0.0165000000000002,-0.0256,-0.0146,0,0,0,lb_bracket_link,0,0,0,,,,,,,,,,,,
lb_wheel_link,-2.77555756156289E-17,-0.0149570892186649,0,0,0,0,0.131781957836458,5.64750546860615E-05,2.39861413140954E-22,-8.34935430795748E-22,9.31833010061579E-05,2.4554189164289E-21,5.64750546860616E-05,0,0,0,0,0,0,package://urdf_try_1/meshes/lb_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/lb_wheel_link.STL,,wheel_DCbracket_DCmotor-3/wheel-1,lb_wheel_link,lb_wheel_join,lb_wheel_join,continuous,0.0035,0.0992,-0.01,0,0,0,lb_DCmotor_link,0,1,0,,,,,,,,,,,,
rf_bracket_link,-0.02,-0.025987,-0.0099079,0,0,0,0.0083367,2.9809E-06,2.7262E-21,3.5803E-21,2.5814E-06,-8.4209E-07,2.7078E-06,0,0,0,0,0,0,package://urdf_try_1/meshes/rf_bracket_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/rf_bracket_link.STL,,wheel_DCbracket_DCmotor-5/DCbracker-1,rf_bracket_link,rf_bracket_join,rf_bracket_join,fixed,0.2025,-0.14375,-0.00499999999999998,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rf_DCmotor_link,-0.0035,-0.031837,-0.01,0,0,0,0.064538,2.7927E-05,-2.3576E-21,-2.4525E-22,1.0166E-05,-7.2302E-22,2.7916E-05,0,0,0,0,0,0,package://urdf_try_1/meshes/rf_DCmotor_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/rf_DCmotor_link.STL,,wheel_DCbracket_DCmotor-5/DCmotor-1,rf_DCmotor_link,rf_DCmotor_join,rf_DCmotor_join,fixed,-0.0165000000000001,0.0256,-0.0146,0,0,0,rf_bracket_link,0,0,0,,,,,,,,,,,,
rf_wheel_link,5.5511E-17,0.014957,0,0,0,0,0.13178,5.6475E-05,1.4555E-21,6.8695E-21,9.3183E-05,-1.2048E-21,5.6475E-05,0,0,0,0,0,0,package://urdf_try_1/meshes/rf_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_try_1/meshes/rf_wheel_link.STL,,wheel_DCbracket_DCmotor-5/wheel-1,rf_wheel_link,rf_wheel_join,rf_wheel_join,continuous,-0.0035,-0.0992,-0.01,0,0,0,rf_DCmotor_link,0,-1,0,,,,,,,,,,,,
